"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"T7IR2IXV","journalArticle","2011","Bollen, Johan; Mao, Huina; Zeng, Xiaojun","Twitter mood predicts the stock market","Journal of Computational Science","","1877-7503","10.1016/j.jocs.2010.12.007","https://www.sciencedirect.com/science/article/pii/S187775031100007X","Behavioral economics tells us that emotions can profoundly affect individual behavior and decision-making. Does this also apply to societies at large, i.e. can societies experience mood states that affect their collective decision making? By extension is the public mood correlated or even predictive of economic indicators? Here we investigate whether measurements of collective mood states derived from large-scale Twitter feeds are correlated to the value of the Dow Jones Industrial Average (DJIA) over time. We analyze the text content of daily Twitter feeds by two mood tracking tools, namely OpinionFinder that measures positive vs. negative mood and Google-Profile of Mood States (GPOMS) that measures mood in terms of 6 dimensions (Calm, Alert, Sure, Vital, Kind, and Happy). We cross-validate the resulting mood time series by comparing their ability to detect the public's response to the presidential election and Thanksgiving day in 2008. A Granger causality analysis and a Self-Organizing Fuzzy Neural Network are then used to investigate the hypothesis that public mood states, as measured by the OpinionFinder and GPOMS mood time series, are predictive of changes in DJIA closing values. Our results indicate that the accuracy of DJIA predictions can be significantly improved by the inclusion of specific public mood dimensions but not others. We find an accuracy of 86.7% in predicting the daily up and down changes in the closing values of the DJIA and a reduction of the Mean Average Percentage Error (MAPE) by more than 6%.","2011-03-01","2023-02-05 08:30:28","2023-02-05 08:30:28","2023-02-05 08:30:28","1-8","","1","2","","Journal of Computational Science","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\colde\Zotero\storage\BKN9B8QY\Bollen et al. - 2011 - Twitter mood predicts the stock market.pdf","","","Collective mood; Sentiment tracking; Social networks; Stock market","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7J9K384N","journalArticle","2003","Andersen, Torben G.; Bollerslev, Tim; Diebold, Francis X.; Labys, Paul","Modeling and Forecasting Realized Volatility","Econometrica","","0012-9682, 1468-0262","10.1111/1468-0262.00418","http://doi.wiley.com/10.1111/1468-0262.00418","We provide a framework for integration of high–frequency intraday data into the measurement, modeling, and forecasting of daily and lower frequency return volatilities and return distributions. Building on the theory of continuous–time arbitrage–free price processes and the theory of quadratic variation, we develop formal links between realized volatility and the conditional covariance matrix. Next, using continuously recorded observations for the Deutschemark/Dollar and Yen/Dollar spot exchange rates, we find that forecasts from a simple long–memory Gaussian vector autoregression for the logarithmic daily realized volatilities perform admirably. Moreover, the vector autoregressive volatility forecast, coupled with a parametric lognormal–normal mixture distribution produces well–calibrated density forecasts of future returns, and correspondingly accurate quantile predictions. Our results hold promise for practical modeling and forecasting of the large covariance matrices relevant in asset pricing, asset allocation, and financial risk management applications.","2003-03","2023-02-05 08:32:39","2023-02-05 11:08:00","2023-02-05 08:32:39","579-625","","2","71","","Econometrica","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\colde\Zotero\storage\LBB877SX\Andersen et al. - 2003 - Modeling and Forecasting Realized Volatility.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JBALD8X8","journalArticle","2013","Schoen, Harald; Gayo-Avello, Daniel; Takis Metaxas, Panagiotis; Mustafaraj, Eni; Strohmaier, Markus; Gloor, Peter","The power of prediction with social media","Internet Research","","1066-2243","10.1108/IntR-06-2013-0115","https://www.emerald.com/insight/content/doi/10.1108/IntR-06-2013-0115/full/html","Social media provide an impressive amount of data about users and their interactions, thereby offering computer and social scientists, economists, and statisticians – among others – new opportunities for research. Arguably, one of the most interesting lines of work is that of predicting future events and developments from social media data. However, current work is fragmented and lacks of widely accepted evaluation approaches. Moreover, since the first techniques emerged rather recently, little is known about their overall potential, limitations and general applicability to different domains. Therefore, better understanding the predictive power and limitations of social media is of utmost importance.","2013-10-14","2023-02-05 08:32:58","2023-02-05 11:08:31","2023-02-05 08:32:58","528-543","","5","23","","Internet Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\colde\Zotero\storage\7KZM8W5I\Schoen et al. - 2013 - The power of prediction with social media.pdf","","","","Gayo-Avello, Panagiotis Takis Metax, Daniel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TD6EMMZT","journalArticle","2021","Schöne, Jonas Paul; Parkinson, Brian; Goldenberg, Amit","Negativity Spreads More than Positivity on Twitter After Both Positive and Negative Political Situations","Affective Science","","2662-205X","10.1007/s42761-021-00057-7","https://doi.org/10.1007/s42761-021-00057-7","What type of emotional language spreads further in political discourses on social media? Previous research has focused on situations that primarily elicited negative emotions, showing that negative language tended to spread further. The current project extends existing knowledge by examining the spread of emotional language in response to both predominantly positive and negative political situations. In Study 1, we examined the spread of emotional language in tweets related to the winning and losing parties in the 2016 US elections, finding that increased negativity (but not positivity) predicted content sharing in both situations. In Study 2, we compared the spread of emotional language in two separate situations: the celebration of the US Supreme Court approval of same-sex marriage (positive) and the Ferguson unrest (negative), finding again that negativity spread further. These results shed light on the nature of political discourse and engagement.","2021-12-01","2023-03-09 13:43:36","2023-03-09 13:43:36","2023-03-09 13:43:36","379-390","","4","2","","Affec Sci","","","","","","","","en","","","","","Springer Link","","","","C:\Users\colde\Zotero\storage\IAPLPD9V\Schöne et al. - 2021 - Negativity Spreads More than Positivity on Twitter.pdf","","","Emotion contagion; Emotions; Intergroup; Politics; Social media","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q883Z62J","preprint","2019","Kayesh, Humayun; Islam, Md Saiful; Wang, Junhu","On Event Causality Detection in Tweets","","","","10.48550/arXiv.1901.03526","http://arxiv.org/abs/1901.03526","Nowadays, Twitter has become a great source of user-generated information about events. Very often people report causal relationships between events in their tweets. Automatic detection of causality information in these events might play an important role in predictive event analytics. Existing approaches include both rule-based and data-driven supervised methods. However, it is challenging to correctly identify event causality using only linguistic rules due to the highly unstructured nature and grammatical incorrectness of social media short text such as tweets. Also, it is difficult to develop a data-driven supervised method for event causality detection in tweets due to insufficient contextual information. This paper proposes a novel event context word extension technique based on background knowledge. To demonstrate the effectiveness of our proposed event context word extension technique, we develop a feed-forward neural network based approach to detect event causality from tweets. Extensive experiments demonstrate the superiority of our approach.","2019-01-11","2023-03-09 13:55:45","2023-03-09 13:55:45","2023-03-09 13:55:45","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1901.03526 [cs]","","C:\Users\colde\Zotero\storage\YGWZHTDU\Kayesh et al. - 2019 - On Event Causality Detection in Tweets.pdf; C:\Users\colde\Zotero\storage\HN29VTHJ\1901.html","","","Computer Science - Computation and Language; Computer Science - Information Retrieval","","","","","","","","","","","","","","","","","","","arXiv:1901.03526","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3VXX87WH","conferencePaper","2016","Ramteke, Jyoti; Shah, Samarth; Godhia, Darshan; Shaikh, Aadil","Election result prediction using Twitter sentiment analysis","2016 International Conference on Inventive Computation Technologies (ICICT)","","","10.1109/INVENTIVE.2016.7823280","","The proliferation of social media in the recent past has provided end users a powerful platform to voice their opinions. Businesses (or similar entities) need to identify the polarity of these opinions in order to understand user orientation and thereby make smarter decisions. One such application is in the field of politics, where political entities need to understand public opinion and thus determine their campaigning strategy. Sentiment analysis on social media data has been seen by many as an effective tool to monitor user preferences and inclination. Popular text classification algorithms like Naive Bayes and SVM are Supervised Learning Algorithms which require a training data set to perform Sentiment analysis. The accuracy of these algorithms is contingent upon the quantity as well as the quality (features and contextual relevance) of the labeled training data. Since most applications suffer from lack of training data, they resort to cross domain sentiment analysis which misses out on features relevant to the target data. This, in turn, takes a toll on the overall accuracy of text classification. In this paper, we propose a two stage framework which can be used to create a training data from the mined Twitter data without compromising on features and contextual relevance. Finally, we propose a scalable machine learning model to predict the election results using our two stage framework.","2016-08","2023-03-09 13:58:11","2023-03-09 13:58:11","","1-5","","","1","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\colde\Zotero\storage\ZVRRQQ2X\7823280.html","","","Algorithm design and analysis; Classification algorithms; labeling; sentiment analysis; Sentiment analysis; Text categorization; text classification; Training; training data; Training data; Twitter; Vader","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 International Conference on Inventive Computation Technologies (ICICT)","","","","","","","","","","","","","","",""
"3BRWY4HJ","journalArticle","2016","Giachanou, Anastasia; Crestani, Fabio","Like It or Not: A Survey of Twitter Sentiment Analysis Methods","ACM Computing Surveys","","0360-0300","10.1145/2938640","https://doi.org/10.1145/2938640","Sentiment analysis in Twitter is a field that has recently attracted research interest. Twitter is one of the most popular microblog platforms on which users can publish their thoughts and opinions. Sentiment analysis in Twitter tackles the problem of analyzing the tweets in terms of the opinion they express. This survey provides an overview of the topic by investigating and briefly describing the algorithms that have been proposed for sentiment analysis in Twitter. The presented studies are categorized according to the approach they follow. In addition, we discuss fields related to sentiment analysis in Twitter including Twitter opinion retrieval, tracking sentiments over time, irony detection, emotion detection, and tweet sentiment quantification, tasks that have recently attracted increasing attention. Resources that have been used in the Twitter sentiment analysis literature are also briefly presented. The main contributions of this survey include the presentation of the proposed approaches for sentiment analysis in Twitter, their categorization according to the technique they use, and the discussion of recent research trends of the topic and its related fields.","2016-06-30","2023-03-09 13:58:14","2023-03-09 13:58:14","2023-03-09 13:58:14","28:1–28:41","","2","49","","ACM Comput. Surv.","Like It or Not","","","","","","","","","","","","June 2017","","","","","","","microblogs; opinion mining; Sentiment analysis; twitter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WDKAAYIK","conferencePaper","2015","Severyn, Aliaksei; Moschitti, Alessandro","Twitter Sentiment Analysis with Deep Convolutional Neural Networks","Proceedings of the 38th International ACM SIGIR Conference on Research and Development in Information Retrieval","978-1-4503-3621-5","","10.1145/2766462.2767830","https://doi.org/10.1145/2766462.2767830","This paper describes our deep learning system for sentiment analysis of tweets. The main contribution of this work is a new model for initializing the parameter weights of the convolutional neural network, which is crucial to train an accurate model while avoiding the need to inject any additional features. Briefly, we use an unsupervised neural language model to train initial word embeddings that are further tuned by our deep learning model on a distant supervised corpus. At a final stage, the pre-trained parameters of the network are used to initialize the model. We train the latter on the supervised training data recently made available by the official system evaluation campaign on Twitter Sentiment Analysis organized by Semeval-2015. A comparison between the results of our approach and the systems participating in the challenge on the official test sets, suggests that our model could be ranked in the first two positions in both the phrase-level subtask A (among 11 teams) and on the message-level subtask B (among 40 teams). This is an important evidence on the practical value of our solution.","2015-08-09","2023-03-09 13:58:19","2023-03-09 13:58:19","2023-03-09","959–962","","","","","","","SIGIR '15","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","","","","convolutional neural networks; twitter sentiment analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F9FU33GX","journalArticle","2017","Jianqiang, Zhao; Xiaolin, Gui","Comparison Research on Text Pre-processing Methods on Twitter Sentiment Analysis","IEEE Access","","2169-3536","10.1109/ACCESS.2017.2672677","","Twitter sentiment analysis offers organizations ability to monitor public feeling towards the products and events related to them in real time. The first step of the sentiment analysis is the text pre-processing of Twitter data. Most existing researches about Twitter sentiment analysis are focused on the extraction of new sentiment features. However, to select the pre-processing method is ignored. This paper discussed the effects of text pre-processing method on sentiment classification performance in two types of classification tasks, and summed up the classification performances of six pre-processing methods using two feature models and four classifiers on five Twitter datasets. The experiments show that the accuracy and F1-measure of Twitter sentiment classification classifier are improved when using the pre-processing methods of expanding acronyms and replacing negation, but barely changes when removing URLs, removing numbers or stop words. The Naive Bayes and Random Forest classifiers are more sensitive than Logistic Regression and support vector machine classifiers when various pre-processing methods were applied.","2017","2023-03-09 13:58:25","2023-03-09 13:58:25","","2870-2879","","","5","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Access","","C:\Users\colde\Zotero\storage\Q2LFFRDY\7862202.html; C:\Users\colde\Zotero\storage\W6UYBCQQ\Jianqiang and Xiaolin - 2017 - Comparison Research on Text Pre-processing Methods.pdf","","","Analytical models; Organizations; sentiment analysis; Sentiment analysis; Support vector machines; Terminology; text pre-processing; Twitter; Uniform resource locators","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PIGXLZKB","conferencePaper","2017","Abdullah, Malak; Hadzikadic, Mirsad","Sentiment Analysis of Twitter Data: Emotions Revealed Regarding Donald Trump during the 2015-16 Primary Debates","2017 IEEE 29th International Conference on Tools with Artificial Intelligence (ICTAI)","","","10.1109/ICTAI.2017.00120","","Twitter plays a vital role in spreading information and influencing people's opinions in a specific direction. As an easy-to-use platform, Twitter motivates people to share their thoughts and express their opinions. It has been shown by researchers that tracking and analyzing public opinions from social media can help to predict certain political events. This has attracted the attention of politicians towards extracting public opinions regarding their strategies. Consequently, the sentiment analysis of political tweets becomes more valued over time. This study examines Twitter discussions about then- US Republican presidential candidate Donald Trump after his primary debates. It further investigates people's emotions regarding Trump after his debates to see if we can detect whether the tweets support or oppose the candidate. One of the key findings of this study is recognizing that negative or positive polarities in the tweets is not a good indicator to determine support for this candidate.","2017-11","2023-03-09 13:58:29","2023-03-09 13:58:29","","760-764","","","","","","Sentiment Analysis of Twitter Data","","","","","","","","","","","","IEEE Xplore","","ISSN: 2375-0197","","C:\Users\colde\Zotero\storage\A4CHRFD8\8372023.html","","","Classification; Data models; Emotions; GOP Debate; Machine learning; Media; Opinion Mining; Politics; Sentiment analysis; Sentiment Analysis; Tools; Twitter; Voting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017 IEEE 29th International Conference on Tools with Artificial Intelligence (ICTAI)","","","","","","","","","","","","","","",""
